Seg,Year,Date,TreeName,Genus,Species,TotalDBH,LandUse,SiteType,Pruned,HatrackPrune,FlushCutPrune,PercentImperv,Powerline,Mulch,MulchVolcano,TreeGuard,Gardenscape,Mowing,GrassDescription,Grate,GirdlingRoots,RoadSideLift,RoadSideCrack,TrunkDamage,LeafCurling,Discoloration,Defoliation,Dieback,CrownVigor,CrownLight
1,2023,7/21/2023,16-GLTR-001,Gleditsia,triacanthos,23.5,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,0,0,0,1,1,4,1.5,3.5
1,2022,2022-06-26T00:00:00.000Z,16-GLTR-001,Gleditsia,triacanthos,23.2,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,0,1,1,5,2,3
1,2022,2022-06-26T00:00:00.000Z,16-ACSA-002,Acer,saccharinum,30.7,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,0,1,1,4,2,3
1,2023,7/21/2023,16-GLTR-003,Gleditsia,triacanthos,26.8,MFR,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,0,FALSE,1,1,1,1,4,2,4
1,2022,2022-06-26T00:00:00.000Z,16-GLTR-003,Gleditsia,triacanthos,26.5,MFR,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,0,FALSE,1,0,1,1,4,2,4
1,2023,7/21/2023,16-GLTR-004,Gleditsia,triacanthos,26.6,SFR-A,SP,1,0,0,5,0,0,0,0,Minimal,old,Patchy but green,0,0,1,FALSE,0,1,1,2,5,2,3
1,2022,2022-06-26T00:00:00.000Z,16-GLTR-004,Gleditsia,triacanthos,26.4,MFR,SP,1,0,0,5,0,0,0,0,Minimal,old,Patchy but green,0,0,1,FALSE,0,0,1,1,4,2,4
1,2023,7/21/2023,16-TICO-005,Tilia,cordata,18.4,SFR-A,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,1,FALSE,0,0,1,1,1,1,3
1,2022,2022-06-26T00:00:00.000Z,16-TICO-005,Tilia,cordata,18.3,MFR,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,1,FALSE,0,0,1,1,1,1,3
1,2023,7/21/2023,16-CEOC-006,Celtis,occidentalis,20.6,SFR-A,SP,1,0,0,5,0,0,0,0,None,recent,Lush,0,0,0,FALSE,0,0,1,2,3,2,4
1,2022,2022-06-26T00:00:00.000Z,16-CEOC-006,Celtis,occidentalis,20.3,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Lush,0,1,0,FALSE,0,0,1,2,4,2,3
1,2023,7/21/2023,16-GLTR-007,Gleditsia,triacanthos,27.1,SFR-A,SP,1,0,0,5,0,0,0,0,None,recent,Lush,0,0,0,TRUE,0,1,1,1,6,2,3
1,2022,2022-06-26T00:00:00.000Z,16-GLTR-007,Gleditsia,triacanthos,26.7,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Lush,0,0,0,TRUE,0,0,1,1,9,3,5
1,2023,7/21/2023,16-ACPL-008,Acer,platanoides,21.1,SFR-A,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,1,4,1,2,4,3
1,2022,2022-06-26T00:00:00.000Z,16-ACPL-008,Acer,platanoides,21,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,0,3,1,2,3,2
1,2023,7/21/2023,16-CEOC-009,Celtis,occidentalis,24,SFR-A,SP,1,1,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,1,1,2,2,2,3
